release_year,rank_in_year,imdb_rating,mpaa_rating,film_title,film_budget,length_in_min,domestic_distributor,worldwide_gross,domestic_gross,genre_1,genre_2,genre_3,ROI,ROI_ratio,decade,decade_label,budget_category
2019,1,8.5,PG-13,Avengers: Endgame,356000000.0,181,Walt Disney ,2797800564.0,858373000.0,Action,Adventure,Drama,7.858990348314607,7.858990348314607,2010,2010s,Muy Alto (>200M)
2019,2,7.0,PG,The Lion King,260000000.0,118,Walt Disney ,1656943394.0,543638043.0,Animation,Adventure,Drama,6.372859207692308,6.372859207692308,2010,2010s,Muy Alto (>200M)
2019,3,7.2,PG,Frozen II,150000000.0,103,Walt Disney ,1420560456.0,470089732.0,Animation,Adventure,Comedy,9.47040304,9.47040304,2010,2010s,Alto (100-200M)
2019,4,7.6,PG-13,Spider-Man: Far from Home,160000000.0,129,Sony Pictures,1131927996.0,390532085.0,Action,Adventure,Sci-Fi,7.074549975,7.074549975,2010,2010s,Alto (100-200M)
2019,5,6.9,PG-13,Captain Marvel,175000000.0,123,Walt Disney ,1128274794.0,426829839.0,Action,Adventure,Sci-Fi,6.447284537142857,6.447284537142857,2010,2010s,Alto (100-200M)
2019,6,7.9,G,Toy Story 4,200000000.0,100,Walt Disney ,1073394593.0,434038008.0,Animation,Adventure,Comedy,5.366972965,5.366972965,2010,2010s,Alto (100-200M)
2019,7,8.6,R,Joker,55000000.0,122,Warner Bros.,1071030470.0,334830470.0,Crime,Drama,Thriller,19.473281272727274,19.473281272727274,2010,2010s,Medio (50-100M)
2019,8,7.0,PG,Aladdin,183000000.0,128,Walt Disney ,1050693953.0,355559216.0,Adventure,Family,Fantasy,5.741497010928962,5.741497010928962,2010,2010s,Alto (100-200M)
2019,9,6.9,PG-13,Star Wars: Episode IX - The Rise of Skywalker,200000000.0,142,Walt Disney ,1048859152.0,503458989.0,Action,Adventure,Fantasy,5.24429576,5.24429576,2010,2010s,Alto (100-200M)
2019,10,6.5,PG-13,Fast & Furious Presents: Hobbs & Shaw,200000000.0,137,Universal Pictures,758910100.0,173810100.0,Action,Adventure,None,3.7945505,3.7945505,2010,2010s,Alto (100-200M)
2018,1,8.5,PG-13,Avengers: Infinity War,321000000.0,149,Walt Disney ,2048359754.0,678815482.0,Action,Adventure,Sci-Fi,6.381183034267913,6.381183034267913,2010,2010s,Muy Alto (>200M)
2018,2,7.3,PG-13,Black Panther,200000000.0,134,Walt Disney ,1346913161.0,700059566.0,Action,Adventure,Sci-Fi,6.734565805,6.734565805,2010,2010s,Alto (100-200M)
2018,3,6.2,PG-13,Jurassic World: Fallen Kingdom,170000000.0,128,Universal Pictures,1308467944.0,417719760.0,Action,Adventure,Sci-Fi,7.696870258823529,7.696870258823529,2010,2010s,Alto (100-200M)
2018,4,7.7,PG,Incredibles 2,200000000.0,118,Walt Disney ,1242805359.0,608581744.0,Animation,Action,Adventure,6.214026795,6.214026795,2010,2010s,Alto (100-200M)
2018,5,7.0,PG-13,Aquaman,160000000.0,143,Warner Bros.,1148161807.0,335061807.0,Action,Adventure,Fantasy,7.17601129375,7.17601129375,2010,2010s,Alto (100-200M)
2018,6,8.0,PG-13,Bohemian Rhapsody,52000000.0,134,Twentieth Century Fox,903655259.0,216428042.0,Biography,Drama,Music,17.37798575,17.37798575,2010,2010s,Medio (50-100M)
2018,7,6.7,PG-13,Venom,100000000.0,112,Sony Pictures,856085151.0,213515506.0,Action,Sci-Fi,Thriller,8.56085151,8.56085151,2010,2010s,Medio (50-100M)
2018,8,7.8,PG-13,Mission: Impossible - Fallout,178000000.0,147,Paramount Pictures,791115104.0,220159104.0,Action,Adventure,Thriller,4.444466876404494,4.444466876404494,2010,2010s,Alto (100-200M)
2018,9,7.7,R,Deadpool 2,110000000.0,119,Twentieth Century Fox,734546611.0,318491426.0,Action,Adventure,Comedy,6.677696463636364,6.677696463636364,2010,2010s,Alto (100-200M)
2018,10,6.6,PG-13,Fantastic Beasts: The Crimes of Grindelwald,200000000.0,134,Warner Bros.,653755901.0,159555901.0,Adventure,Family,Fantasy,3.268779505,3.268779505,2010,2010s,Alto (100-200M)
2017,1,7.0,PG-13,Star Wars: Episode VIII - The Last Jedi,317000000.0,152,Walt Disney ,1332539889.0,620181382.0,Action,Adventure,Fantasy,4.2035958643533125,4.2035958643533125,2010,2010s,Muy Alto (>200M)
2017,2,7.1,PG,Beauty and the Beast,160000000.0,129,Walt Disney ,1263521126.0,504014165.0,Family,Fantasy,Musical,7.8970070375,7.8970070375,2010,2010s,Alto (100-200M)
2017,3,6.7,PG-13,The Fate of the Furious,250000000.0,136,Universal Pictures,1236005118.0,226008385.0,Action,Adventure,Thriller,4.944020472,4.944020472,2010,2010s,Muy Alto (>200M)
2017,4,6.3,PG,Despicable Me 3,80000000.0,89,Universal Pictures,1034799409.0,264624300.0,Animation,Adventure,Comedy,12.9349926125,12.9349926125,2010,2010s,Medio (50-100M)
2017,5,6.9,PG-13,Jumanji: Welcome to the Jungle,90000000.0,119,Sony Pictures,962077546.0,404515480.0,Action,Adventure,Comedy,10.68975051111111,10.68975051111111,2010,2010s,Medio (50-100M)
2017,6,7.4,PG-13,Spider-Man: Homecoming,175000000.0,133,Sony Pictures,880166924.0,334201140.0,Action,Adventure,Sci-Fi,5.02952528,5.02952528,2010,2010s,Alto (100-200M)
2017,7,6.0,Unknown,Wolf Warrior 2,30100000.0,123,The H Collective,870325439.0,2721100.0,Action,Drama,Thriller,28.914466411960134,28.914466411960134,2010,2010s,Bajo (<50M)
2017,8,7.6,PG-13,Guardians of the Galaxy Vol. 2,200000000.0,136,Walt Disney ,863756051.0,389813101.0,Action,Adventure,Comedy,4.318780255,4.318780255,2010,2010s,Alto (100-200M)
2017,9,7.9,PG-13,Thor: Ragnarok,180000000.0,130,Walt Disney ,853977126.0,315058289.0,Action,Adventure,Comedy,4.7443173666666665,4.7443173666666665,2010,2010s,Alto (100-200M)
2017,10,7.4,PG-13,Wonder Woman,149000000.0,141,Warner Bros.,821847012.0,412563408.0,Action,Adventure,Fantasy,5.5157517583892615,5.5157517583892615,2010,2010s,Alto (100-200M)
2016,1,7.8,PG-13,Captain America: Civil War,250000000.0,147,Walt Disney ,1153296293.0,408084349.0,Action,Adventure,Sci-Fi,4.613185172,4.613185172,2010,2010s,Muy Alto (>200M)
2016,2,7.8,PG-13,Rogue One: A Star Wars Story,200000000.0,133,Walt Disney ,1056057273.0,532177324.0,Action,Adventure,Sci-Fi,5.280286365,5.280286365,2010,2010s,Alto (100-200M)
2016,3,7.3,PG,Finding Dory,200000000.0,97,Walt Disney ,1028570889.0,486295561.0,Animation,Adventure,Comedy,5.142854445,5.142854445,2010,2010s,Alto (100-200M)
2016,4,8.0,PG,Zootopia,150000000.0,108,Walt Disney ,1023784195.0,341268248.0,Animation,Adventure,Comedy,6.825227966666667,6.825227966666667,2010,2010s,Alto (100-200M)
2016,5,7.4,PG,The Jungle Book,175000000.0,106,Walt Disney ,966550600.0,364001123.0,Adventure,Drama,Fantasy,5.523146285714286,5.523146285714286,2010,2010s,Alto (100-200M)
2016,6,6.5,PG,The Secret Life of Pets,75000000.0,87,Universal Pictures,875457937.0,368384330.0,Animation,Adventure,Comedy,11.672772493333333,11.672772493333333,2010,2010s,Medio (50-100M)
2016,7,6.6,PG-13,Fantastic Beasts and Where to Find Them,180000000.0,134,Warner Bros.,814037575.0,234037575.0,Adventure,Family,Fantasy,4.522430972222222,4.522430972222222,2010,2010s,Alto (100-200M)
2016,8,8.0,R,Deadpool ,58000000.0,108,Twentieth Century Fox,782612155.0,363070709.0,Action,Adventure,Comedy,13.493313017241379,13.493313017241379,2010,2010s,Medio (50-100M)
2016,9,6.0,PG-13,Suicide Squad,175000000.0,123,Warner Bros.,746846894.0,325100054.0,Action,Adventure,Fantasy,4.267696537142857,4.267696537142857,2010,2010s,Alto (100-200M)
